,system,system_config,workload,base_s_mean,base_s_std,overhead1_s_mean,overhead1_s_std,overhead2_s_mean,overhead2_s_std,base_mb_mean,base_mb_std,overhead_mb_mean,overhead_mb_std
0,system1,v1,workload1,23.68,2.7824449680092482,4.46,0.7536577472566709,10.4,1.4142135623730951,848.86,80.17227076739195,276.24,25.121265891670344
1,system1,v1,workload2,31.080000000000002,4.656393454166004,6.12,1.3553597308463903,12.48,2.100476136498579,808.1,97.76021685737001,377.28000000000003,43.583678137578055
2,system1,v2,workload1,125.88,95.07584866831323,21.14,12.371661165744882,55.75999999999999,47.47602552868131,4441.94,3274.4910540418336,1424.92,1004.2103051652078
3,system1,v2,workload2,167.14000000000001,128.3022330281122,27.8,15.06187239356382,68.44,60.99842620920642,4261.88,3173.190753327004,1953.14,1373.6954840866297
4,system2,v1,workload1,24.02,1.4956603892595406,5.64,0.4774934554525329,11.2,0.790569415042094,804.8399999999999,39.103938420573435,260.18,12.38817985016365
5,system2,v1,workload2,21.0,2.23830292855994,3.6399999999999997,0.5770615218501403,9.26,1.0945318634009706,865.54,73.98515391617423,241.26,19.942743041016215
6,system2,v2,workload1,124.52000000000001,91.12108427800891,27.78,18.044999307287327,58.260000000000005,45.447860235659064,4146.719999999999,2996.4987230099064,1330.46,938.9410221094826
7,system2,v2,workload2,111.24000000000001,83.52911468464154,17.28,10.354805647620818,49.66,41.63229515652482,4515.88,3316.9902527743434,1242.48,876.0433961853716
8,system3,v1,workload1,29.6,5.0373604199024715,5.12,1.3553597308463903,11.42,2.189063726801941,837.46,115.76190219584332,367.3,48.18547498987637
9,system3,v1,workload2,27.839999999999996,6.0554108035706395,4.08,1.4771594362153326,10.620000000000001,2.641401143332834,888.9799999999999,160.50436754182115,365.88,61.78561321213863
10,system3,v2,workload1,160.45999999999998,124.4774397230277,22.78,11.609134334652172,63.6,58.29854200578262,4438.4800000000005,3324.39466098717,1906.28,1338.3622013490967
11,system3,v2,workload2,153.24,121.5712260364269,16.919999999999998,7.160796045133528,59.82000000000001,58.35050985209984,4760.18,3611.9918046695507,1907.0,1331.2057973882174
