,exp_name,x,y,color
0,square,1,1,green
1,square,2,2,green
2,square,1,0,green
3,square,2,1,green
4,square,0,1,green
5,square,0,0,green
6,square,2,0,green
7,square,0,2,green
8,square,1,2,green
0,plus,8,7,black
1,plus,7,5,black
2,plus,6,5,black
3,plus,9,5,black
4,plus,8,6,black
5,plus,8,3,black
6,plus,8,4,black
7,plus,10,5,black
0,triangle1,2,3,blue
1,triangle1,1,4,blue
2,triangle1,0,4,blue
3,triangle1,0,3,blue
4,triangle1,1,3,blue
5,triangle1,2,4,blue
0,triangle2,3,3,blue
1,triangle2,-1,3,blue
2,triangle2,1,6,blue
