,exp_name,x,y,color
0,plus,8,6,black
1,plus,9,5,black
2,plus,8,4,black
3,plus,7,5,black
4,plus,8,7,black
5,plus,10,5,black
6,plus,8,3,black
7,plus,6,5,black
8,square,0,0,green
9,square,0,1,green
10,square,0,2,green
11,square,1,0,green
12,square,1,1,green
13,square,1,2,green
14,square,2,0,green
15,square,2,1,green
16,square,2,2,green
17,triangle1,0,3,blue
18,triangle1,0,4,blue
19,triangle1,1,3,blue
20,triangle1,1,4,blue
21,triangle1,2,3,blue
22,triangle1,2,4,blue
23,triangle2,-1,3,blue
24,triangle2,3,3,blue
25,triangle2,1,5,blue
